0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,ClinicalRecord
(-0.09923239052295685+0.144911989569664j),(0.15847231447696686-0.15202000737190247j),(0.3694681227207184+0.38890954852104187j),(0.26648464798927307+0.0745922178030014j),(-0.040091607719659805-0.3740870952606201j),(-0.41911450028419495-0.12813273072242737j),(-0.1558913290500641-0.02322295494377613j),(0.17626836895942688-0.30689099431037903j),(-0.03584887832403183-0.39157170057296753j),(-0.1724400669336319+0.05671609193086624j),(0.27321669459342957-0.08543083071708679j),(-0.2708345949649811-0.20093385875225067j),(-0.2565700113773346-0.053958941251039505j),(-0.00255822716280818-0.051968369632959366j),(0.04709285870194435+0.1771412193775177j),(0.13946963846683502+0.010793386958539486j),(0.07503156363964081-0.30657216906547546j),(0.09810372442007065-0.2539028823375702j),(-0.1622520238161087+0.3246535062789917j),(-0.32946425676345825-0.2385532706975937j),(0.05495206639170647+0.2952089309692383j),(0.34781140089035034-0.12760674953460693j),(-0.3467119336128235-0.07915515452623367j),(0.32835447788238525-0.1576286405324936j),(-0.07881543040275574+0.15601009130477905j),(-0.009982417337596416+0.017310678958892822j),(-0.283748060464859-0.07622704654932022j),(-0.10083812475204468-0.2366533726453781j),(0.13696566224098206+0.059060923755168915j),(0.17879009246826172+0.2711162269115448j),(0.37059175968170166-0.09538419544696808j),(-0.019513674080371857-0.008541696704924107j),(0.08428138494491577+0.13591210544109344j),(0.2189667522907257-0.1649339348077774j),(-0.09922764450311661+0.3859490156173706j),(0.09054145961999893+0.17648111283779144j),(-0.21572768688201904+0.07709379494190216j),(-0.3833061754703522+0.020019032061100006j),(0.4025992453098297+0.27220121026039124j),(0.23732605576515198-0.0822334885597229j),(-0.1764194667339325-0.022423267364501953j),(0.3329900801181793-0.43282854557037354j),(0.1808328777551651-0.05132654309272766j),(0.1962059885263443+0.2579142153263092j),(0.35190996527671814+0.03416616469621658j),(0.16679638624191284-0.4151162803173065j),(-0.26090186834335327+0.17339691519737244j),(0.0768546387553215-0.1663442999124527j),(0.276338666677475-0.16353781521320343j),(0.17093773186206818-0.18737655878067017j),1003706_Patient
(-0.19113093614578247+0.2674816846847534j),(-0.22610625624656677-0.07112926244735718j),(0.28991183638572693-0.00010226859740214422j),(0.21976496279239655+0.3919398784637451j),(0.0021666469983756542-0.03596247732639313j),(-0.12734022736549377-0.1988830417394638j),(-0.06973472237586975-0.18738512694835663j),(0.26899200677871704-0.010360406711697578j),(-0.029986979439854622-0.3755151331424713j),(-0.01392203476279974+0.19552472233772278j),(-0.11455225944519043-0.17511016130447388j),(-0.11891671270132065-0.21214696764945984j),(0.2576850652694702-0.07989795506000519j),(0.09889791905879974+0.2224876582622528j),(-0.06846650689840317+0.21808141469955444j),(-0.21277688443660736-0.0350298136472702j),(0.11989568173885345+0.17121711373329163j),(-0.03688778728246689-0.2563585937023163j),(0.18316935002803802+0.1929246187210083j),(0.12161251157522202-0.20034433901309967j),(-0.2848508656024933+0.30447909235954285j),(-0.04831701144576073-0.04646175354719162j),(-0.2684006989002228-0.2177889049053192j),(-0.045099832117557526-0.1459789127111435j),(-0.11295098066329956-0.18269121646881104j),(0.2309597283601761-0.22634676098823547j),(0.01752563938498497+0.19224104285240173j),(0.0632089152932167-0.01846434362232685j),(0.08768714964389801+0.12306763231754303j),(0.43004485964775085+0.02510935254395008j),(-0.00593247264623642+0.14619378745555878j),(-0.22025597095489502-0.19313567876815796j),(0.01303372997790575+0.11741389334201813j),(0.1818191260099411-0.18421003222465515j),(-0.21351070702075958-0.10704611986875534j),(-0.16004468500614166+0.2108181267976761j),(0.20383061468601227+0.07297268509864807j),(-0.3402448296546936+0.268286794424057j),(0.14786386489868164-0.1956641972064972j),(-0.26767420768737793-0.056095242500305176j),(-0.08604399114847183-0.07314977794885635j),(-0.11716451495885849+0.18532833456993103j),(-0.09187524020671844-0.03945985436439514j),(0.17080435156822205+0.28759732842445374j),(-0.023963401094079018+0.21646356582641602j),(0.1309686154127121-0.18792736530303955j),(0.2827201783657074-0.26991409063339233j),(-0.21917681396007538-0.04634840786457062j),(0.326474666595459+0.10937345772981644j),(0.06177012622356415-0.11868998408317566j),1005679_Patient
(0.3901536464691162-0.009853498078882694j),(0.33598944544792175+0.21002796292304993j),(-0.30350548028945923+0.46243157982826233j),(-0.20373982191085815-0.2947901487350464j),(0.015792232006788254+0.28346362709999084j),(0.30905839800834656+0.24527043104171753j),(0.08728215843439102-0.2962748408317566j),(0.20876413583755493-0.4523926377296448j),(0.40135857462882996-0.18479274213314056j),(-0.4040966331958771+0.12097984552383423j),(-0.23785023391246796-0.35913005471229553j),(-0.09961610287427902+0.14441251754760742j),(0.2091483175754547-0.03733636811375618j),(-0.12052449584007263+0.3336222171783447j),(-0.33740925788879395-0.5176447033882141j),(-0.007743665017187595+0.05082884430885315j),(-0.34152951836586-0.44340112805366516j),(0.2308850735425949+0.34626883268356323j),(0.21716468036174774-0.20815280079841614j),(0.37753748893737793+0.1660657823085785j),(0.40756258368492126+0.25735124945640564j),(-0.3296189606189728-0.22185763716697693j),(0.3046354651451111+0.24282698333263397j),(0.1683965027332306+0.21232761442661285j),(-0.15213578939437866+0.2659761905670166j),(-0.20824822783470154-0.23077203333377838j),(-0.2899174988269806+0.49329766631126404j),(-0.006332916673272848+0.3118995726108551j),(0.13285496830940247-0.2211337685585022j),(0.21330547332763672-0.23199136555194855j),(-0.2295631468296051+0.36979183554649353j),(0.22971490025520325+0.31215324997901917j),(0.22802285850048065+0.42160776257514954j),(0.17995280027389526+0.3282155394554138j),(0.13608035445213318+0.06909746676683426j),(-0.24510803818702698-0.3399631083011627j),(0.04049745574593544-0.266914039850235j),(0.07151228934526443-0.421988308429718j),(-0.22941051423549652+0.14324718713760376j),(-0.24199534952640533-0.14044523239135742j),(0.017536671832203865-0.28769344091415405j),(-0.20732581615447998+0.18043334782123566j),(0.161638543009758+0.17856067419052124j),(-0.03676694631576538-0.28266164660453796j),(-0.29788193106651306-0.08895401656627655j),(-0.36787158250808716-0.11762724071741104j),(-0.16535282135009766-0.3839171528816223j),(-0.28055843710899353+0.1983616203069687j),(-0.4161737263202667+0.2100275307893753j),(0.2424849271774292-0.29829975962638855j),1007602_Patient
(0.25860318541526794+0.33827048540115356j),(-0.2922274172306061+0.024209994822740555j),(-0.43591177463531494+0.25529229640960693j),(-0.06465370208024979-0.07465264946222305j),(-0.3726264238357544+0.33921748399734497j),(-0.3387806713581085-0.024609342217445374j),(-0.22938792407512665+0.2266703099012375j),(0.39072901010513306+0.18623191118240356j),(-0.1752149909734726+0.019945437088608742j),(0.15570484101772308-0.14369261264801025j),(-0.02990296483039856-0.15717510879039764j),(-0.3396122455596924-0.31299978494644165j),(0.34217768907546997+0.2364627569913864j),(-0.011461878195405006-0.26332345604896545j),(-0.40121743083000183-0.183131605386734j),(0.23508547246456146+0.39318323135375977j),(0.21181541681289673-0.30207064747810364j),(0.1085992082953453+0.010925100184977055j),(0.20000125467777252+0.08721306174993515j),(0.472866952419281-0.256672739982605j),(0.30207276344299316+0.42917340993881226j),(0.38094258308410645+0.3132891058921814j),(-0.026294497773051262+0.23679552972316742j),(-0.29211196303367615-0.19497068226337433j),(0.2416219413280487-0.19253671169281006j),(-0.1775101274251938-0.1406293660402298j),(0.20645146071910858+0.14487385749816895j),(-0.2796420753002167-0.19795502722263336j),(0.09254635125398636-0.25999900698661804j),(-0.32239460945129395+0.28937166929244995j),(-0.31797492504119873-0.27025142312049866j),(0.4133727550506592-0.13279877603054047j),(0.0809297189116478-0.043079495429992676j),(0.31112349033355713+0.05574968829751015j),(-0.11331389099359512+0.36836639046669006j),(-0.1369471400976181+0.24613983929157257j),(0.2818397879600525+0.338248074054718j),(0.21090447902679443+0.07987760007381439j),(0.26603269577026367-0.07172593474388123j),(0.4771600365638733+0.259112149477005j),(0.11235053092241287-0.35218411684036255j),(0.325501412153244+0.17168495059013367j),(0.338981568813324-0.18737588822841644j),(0.34181541204452515+0.31468549370765686j),(0.5379111766815186+0.2733810245990753j),(0.277473121881485-0.3015240430831909j),(-0.3766840994358063+0.06886502355337143j),(-0.21030470728874207+0.11282456666231155j),(-0.07354047149419785+0.21496908366680145j),(0.20868495106697083-0.2239985316991806j),1013426_Patient
(-0.34206634759902954-0.34458813071250916j),(-0.3290410041809082-0.25716114044189453j),(-0.18403559923171997-0.08070648461580276j),(-0.2323756068944931+0.06861070543527603j),(-0.03206164389848709+0.14325743913650513j),(0.39785322546958923-0.2195393592119217j),(0.20622789859771729-0.261274516582489j),(0.07856683433055878-0.3224736750125885j),(-0.16731125116348267-0.25813812017440796j),(0.3145673871040344-0.32138898968696594j),(-0.2828409969806671+0.4238254129886627j),(-0.36398768424987793+0.14052820205688477j),(0.03421216830611229+0.33072489500045776j),(-0.11119256913661957+0.24780292809009552j),(0.024179119616746902-0.23844046890735626j),(-0.3305823802947998-0.12496909499168396j),(0.3433355689048767-0.03591576963663101j),(-0.12022166699171066-0.2780141532421112j),(0.18625009059906006-0.04847458004951477j),(0.039606109261512756+0.3170556426048279j),(-0.2228870987892151+0.3566437065601349j),(0.023494355380535126+0.3388262689113617j),(-0.3064365088939667-0.3490317463874817j),(-0.3760681450366974+0.44686922430992126j),(0.2771990895271301-0.10404662042856216j),(-0.3636929392814636-0.07734990119934082j),(-0.23000332713127136+0.3203124701976776j),(0.2500635087490082-0.1812039464712143j),(-0.1382935494184494-0.1834269016981125j),(0.14855404198169708+0.38527923822402954j),(-0.34685537219047546-0.25902271270751953j),(0.28251805901527405+0.36054572463035583j),(-0.3537876307964325-0.17089302837848663j),(0.23939399421215057-0.2781158685684204j),(-0.44849762320518494+0.25345462560653687j),(0.20486125349998474-0.13200829923152924j),(-0.17303580045700073-0.4183914363384247j),(0.3103533983230591+0.13508601486682892j),(0.3803780674934387-0.21395576000213623j),(0.33227765560150146-0.2692021429538727j),(-0.16475702822208405+0.23269543051719666j),(0.06119675189256668-0.32101157307624817j),(0.10566249489784241-0.4348262548446655j),(0.26781749725341797-0.21796360611915588j),(-0.3548828065395355+0.20295651257038116j),(0.11879544705152512-0.18261075019836426j),(-0.07680142670869827-0.3464035093784332j),(-0.12805771827697754-0.27119678258895874j),(-0.12420939654111862-0.21012695133686066j),(0.5123668313026428+0.2857859432697296j),1013702_Patient
(0.08329498767852783+0.15704499185085297j),(-0.21216419339179993+0.0003431643999647349j),(0.12779906392097473+0.33295032382011414j),(0.3167572617530823+0.06616740673780441j),(-0.10053493082523346-0.2775479555130005j),(-0.22824962437152863-0.0405949130654335j),(-0.1243521049618721-0.21387428045272827j),(0.40601223707199097-0.04183251038193703j),(0.04571303352713585-0.40827181935310364j),(-0.34168797731399536+0.17270338535308838j),(-0.06674759089946747+0.29607802629470825j),(-0.11061684787273407+0.06266874819993973j),(-0.20722630620002747-0.2001178115606308j),(0.09780748188495636+0.33923470973968506j),(-0.13248740136623383-0.060605864971876144j),(-0.3514625132083893+0.441714882850647j),(0.21566548943519592-0.03134256973862648j),(0.14623123407363892-0.03265949338674545j),(-0.015137079171836376+0.1706024706363678j),(-0.2851661741733551-0.17428244650363922j),(-0.16034941375255585+0.4571956992149353j),(0.2110370397567749-0.27513593435287476j),(-0.18258967995643616-0.028565172106027603j),(0.18090713024139404-0.024172652512788773j),(-0.3153022527694702+0.0010048338444903493j),(0.29382362961769104+0.14389577507972717j),(0.06788548082113266+0.016556376591324806j),(-0.26768946647644043-0.04529552534222603j),(-0.10336700081825256+0.1012033075094223j),(0.297250360250473+0.180029958486557j),(0.35113391280174255-0.16148068010807037j),(0.024373600259423256-0.16298909485340118j),(0.17645737528800964+0.13613902032375336j),(-0.18206192553043365-0.07244918495416641j),(-0.09631617367267609-0.009479545056819916j),(-0.38755834102630615+0.0869084969162941j),(0.0031326781027019024-0.05123737454414368j),(-0.2615378797054291-0.03856132552027702j),(0.3242858946323395-0.06865162402391434j),(0.3642157316207886+0.15442655980587006j),(-0.25726646184921265+0.12398815155029297j),(0.3328116238117218-0.38832467794418335j),(-0.06439345329999924-0.11594817787408829j),(0.027360476553440094-0.19081281125545502j),(-0.10636871308088303+0.07520578056573868j),(0.12789227068424225+0.08524755388498306j),(0.1203535944223404+0.0147569440305233j),(0.022531116381287575+0.16728705167770386j),(0.2941795289516449-0.009695525281131268j),(-0.13297073543071747+0.14859803020954132j),1015121_Patient
(0.14629541337490082-0.30699774622917175j),(0.06900762021541595-0.07116185128688812j),(-0.033842187374830246-0.0003282644029241055j),(0.2245209515094757+0.2376847267150879j),(-0.2637202739715576-0.29760855436325073j),(-0.3025113344192505-0.4110892415046692j),(-0.15093658864498138-0.21649737656116486j),(-0.02704978734254837-0.3199358284473419j),(-0.08483657240867615-0.4206692576408386j),(-0.08029861003160477-0.2900965213775635j),(-0.1326366364955902+0.018700508400797844j),(0.15666605532169342+0.06495913863182068j),(0.14881443977355957+0.17540110647678375j),(0.29601922631263733+0.36311230063438416j),(0.281188428401947-0.005948503036051989j),(0.14479327201843262+0.13920029997825623j),(0.3261263370513916-0.11061125248670578j),(0.017950614914298058-0.5622346997261047j),(-0.05964691564440727+0.48529335856437683j),(-0.06657322496175766+0.14564266800880432j),(-0.003836113028228283+0.32941895723342896j),(0.02777716889977455+0.20436504483222961j),(-0.35814180970191956+0.24772794544696808j),(0.3095735013484955+0.13519246876239777j),(-0.048717401921749115-0.16467833518981934j),(-0.06325186789035797-0.134368896484375j),(0.21036599576473236-0.16182424128055573j),(-0.2370823472738266+0.2163875550031662j),(0.19262774288654327+0.23918725550174713j),(0.05284275859594345+0.5077847838401794j),(-0.0001382890623062849+0.07535722106695175j),(0.26209205389022827+0.22238612174987793j),(0.1274402141571045-0.1628931313753128j),(0.16944405436515808-0.07896190136671066j),(-0.06412557512521744+0.49779582023620605j),(-0.3911849558353424+0.12413512170314789j),(0.20394663512706757-0.13094405829906464j),(0.02152196317911148+0.1303052008152008j),(0.19677573442459106-0.2695779502391815j),(0.46040239930152893+0.09768341481685638j),(0.1457841843366623-0.17230214178562164j),(0.23774568736553192+0.14886346459388733j),(0.09684311598539352-0.5202958583831787j),(0.31360286474227905-0.012260211631655693j),(0.39863675832748413+0.35710135102272034j),(0.3051135241985321-0.38090062141418457j),(0.34595850110054016+0.01030239462852478j),(-0.26499617099761963-0.09677167236804962j),(-0.11513782292604446-0.2929094433784485j),(0.33454230427742004+0.04143486171960831j),1019115_Patient
(0.20602108538150787+0.15969637036323547j),(-0.4493110775947571-0.38204532861709595j),(0.3688332140445709-0.07001341879367828j),(-0.09565775096416473-0.22746576368808746j),(-0.035645924508571625-0.17230787873268127j),(-0.03518041595816612+0.06133938208222389j),(0.013290083035826683+0.06640073657035828j),(-0.13091671466827393-0.3465193510055542j),(0.34975466132164+0.42119738459587097j),(-0.3382222056388855+0.30451950430870056j),(0.1315114051103592+0.21339882910251617j),(-0.06581059843301773-0.34367918968200684j),(0.32820963859558105+0.19748705625534058j),(-0.38323718309402466+0.16266094148159027j),(-0.18696635961532593-0.16231025755405426j),(-0.35885950922966003+0.10543103516101837j),(-0.24022799730300903-0.12327931076288223j),(0.035322435200214386+0.33189210295677185j),(0.2936538755893707-0.03504002466797829j),(0.4397251307964325+0.18327638506889343j),(-0.11946896463632584-0.385933518409729j),(0.08331309258937836-0.19360734522342682j),(0.28399917483329773-0.3121829032897949j),(-0.1425502896308899+0.09951245039701462j),(0.6209815740585327-0.10394717752933502j),(-0.00654460908845067-0.4814039468765259j),(0.06134184077382088-0.4050470292568207j),(0.5190301537513733-0.385790079832077j),(0.2802048921585083+0.38678738474845886j),(0.2805764675140381-0.2680761516094208j),(0.041189923882484436+0.07183124125003815j),(0.1338130533695221-0.09252146631479263j),(0.481797456741333+0.2184830904006958j),(-0.345914363861084-0.2573400139808655j),(0.09637073427438736-0.2550959289073944j),(0.5023384094238281-0.16181765496730804j),(0.10275197774171829-0.3823927044868469j),(-0.3533457815647125-0.30348798632621765j),(-0.211356520652771+0.34975823760032654j),(-0.32363584637641907+0.03427690640091896j),(0.023760106414556503-0.24612440168857574j),(-0.21164263784885406+0.2444039285182953j),(-0.37907031178474426-0.1380794197320938j),(0.19699512422084808+0.021578999236226082j),(-0.43718382716178894-0.32311344146728516j),(-0.17276468873023987-0.20035210251808167j),(-0.0796472430229187+0.24130886793136597j),(0.1657584309577942+0.35148122906684875j),(-0.29132357239723206+0.4803013205528259j),(0.5621627569198608-0.5140019655227661j),1019206_Patient
(0.3601178526878357+0.3282468616962433j),(-0.16224828362464905+0.1656361222267151j),(0.029400793835520744+0.1069871261715889j),(-0.10822753608226776+0.18725623190402985j),(-0.2073950171470642-0.06214827671647072j),(0.09283451735973358+0.01664239540696144j),(0.1911487579345703-0.20240753889083862j),(0.39697563648223877+0.17056025564670563j),(0.4391896724700928+0.26691940426826477j),(0.024841055274009705+0.03551102057099342j),(-0.12352482229471207-0.24086923897266388j),(-0.3766348361968994+0.3072987496852875j),(-0.10141824930906296+0.26524919271469116j),(-0.019389841705560684-0.0064367023296654224j),(0.04044845700263977+0.3495829999446869j),(-0.06909999251365662-0.2512301802635193j),(0.274325966835022-0.10961486399173737j),(-0.09762066602706909-0.10712752491235733j),(-0.20550042390823364-0.2128078192472458j),(-0.1312437802553177-0.4175390601158142j),(0.016058247536420822-0.20389670133590698j),(-0.08070235699415207+0.03883984312415123j),(-0.2421744018793106+0.45300376415252686j),(-0.3061790466308594-0.2524353861808777j),(0.3742631673812866-0.10562048852443695j),(-0.33414193987846375-0.32660332322120667j),(0.005042086821049452+0.2425348460674286j),(-0.20057493448257446+0.36463484168052673j),(-0.2776432931423187+0.07916435599327087j),(0.28653785586357117+0.03756928816437721j),(-0.29939985275268555+0.3351970911026001j),(0.17106865346431732-0.21495375037193298j),(0.42063769698143005-0.07974103838205338j),(-0.2094871699810028-0.29516488313674927j),(-0.32568469643592834-0.15575245022773743j),(0.09481575340032578-0.21050801873207092j),(-0.3126342296600342-0.14302313327789307j),(0.08758214861154556-0.0693623349070549j),(0.4519420266151428+0.32455015182495117j),(0.19788019359111786+0.04102229326963425j),(0.008237545378506184-0.31320393085479736j),(-0.025479815900325775+0.07142599672079086j),(-0.39650002121925354-0.09419380873441696j),(0.2204626500606537-0.24634230136871338j),(0.08450497686862946+0.002943935804069042j),(-0.3672858774662018-0.12158031016588211j),(0.2101234346628189+0.3194437623023987j),(-0.24913939833641052-0.26000601053237915j),(-0.2247232347726822-0.12870335578918457j),(-0.23090054094791412-0.2138182520866394j),101957_Patient
(0.10353223979473114+0.16228890419006348j),(-0.007711673155426979+0.018295861780643463j),(0.05229007452726364+0.3754436671733856j),(0.1994243562221527+0.486563503742218j),(-0.1448589414358139-0.2543182969093323j),(-0.2634962201118469+0.20426401495933533j),(-0.06964342296123505+0.04863179475069046j),(0.011401076801121235-0.3053510785102844j),(0.028427597135305405+0.06925565004348755j),(-0.33113136887550354+0.13465818762779236j),(0.13612452149391174+0.1765788048505783j),(-0.07401648163795471+0.19379352033138275j),(0.15359899401664734+0.1653974950313568j),(0.05638284608721733+0.19821248948574066j),(0.09045872837305069+0.006588715128600597j),(-0.11968116462230682+0.2126261293888092j),(0.2188570201396942-0.010381332598626614j),(0.18188990652561188-0.02347383461892605j),(-0.14693661034107208+0.20007014274597168j),(-0.24181590974330902-0.2738763391971588j),(-0.17531731724739075+0.012800789438188076j),(-0.03605251759290695-0.10893934965133667j),(-0.1936204433441162+0.09439299255609512j),(-0.013041123747825623+0.054764311760663986j),(0.21255037188529968-0.07558408379554749j),(-0.04574098810553551+0.06590764224529266j),(0.0345262736082077-0.24955573678016663j),(0.195376455783844+0.005241157952696085j),(0.09205257147550583+0.03041142039000988j),(0.20759692788124084+0.13151273131370544j),(0.1324213445186615+0.07675300538539886j),(-0.11844456940889359+0.1502991020679474j),(0.22027654945850372+0.02463231422007084j),(0.01123073697090149-0.16975165903568268j),(0.03545607998967171+0.15249201655387878j),(0.04510270804166794+0.09687167406082153j),(-0.1473000943660736+0.021863030269742012j),(-0.007115243002772331-0.06290651857852936j),(0.2521788477897644+0.028443926945328712j),(0.14715540409088135-0.1449335813522339j),(0.22816357016563416+0.14297695457935333j),(0.17329980432987213-0.15627668797969818j),(-0.0949096828699112-0.01992790214717388j),(0.051329221576452255+0.1310129165649414j),(-0.08694914728403091+0.27166926860809326j),(-0.23068469762802124-0.10647349804639816j),(0.18028762936592102+0.18732710182666779j),(0.10086750239133835+0.18801343441009521j),(0.17150992155075073-0.12343785911798477j),(0.2527458071708679-0.0716923400759697j),1022636_Patient
