0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,ClinicalRecord
(-0.2820647358894348+0.23097366094589233j),(0.32986271381378174+0.14148558676242828j),(0.14843156933784485+0.12869103252887726j),(0.3028353750705719-0.02727949619293213j),(0.23246613144874573-0.3327692151069641j),(0.14014974236488342-0.008147604763507843j),(0.10676924884319305-0.13826675713062286j),(0.24578945338726044-0.4488312304019928j),(-0.3619649410247803-0.46927928924560547j),(0.054039232432842255-0.009580404497683048j),(0.2518235445022583-0.18287312984466553j),(-0.4387384057044983+0.305702269077301j),(0.18617242574691772+0.06585673242807388j),(-0.37899497151374817-0.44292500615119934j),(-0.12898147106170654+0.27889329195022583j),(0.3132297098636627-0.2573293447494507j),(0.19418564438819885-0.3539081811904907j),(0.21266764402389526-0.19167011976242065j),(-0.2287987470626831+0.32162097096443176j),(-0.4320632517337799-0.06262346357107162j),(0.04076734557747841-0.16874593496322632j),(0.3108415901660919+0.023553982377052307j),(-0.13010916113853455+0.03833935409784317j),(0.14570952951908112+0.22010105848312378j),(-0.10269386321306229-0.014311332255601883j),(0.042580246925354004-0.2487499713897705j),(-0.24823231995105743-0.32805120944976807j),(-0.4472346305847168-0.4709677994251251j),(0.09524772316217422+0.066421739757061j),(-0.3685051500797272+0.25206494331359863j),(0.5463173985481262+0.24513323605060577j),(-0.1568538397550583+0.0058585964143276215j),(0.10449463129043579+0.24718080461025238j),(0.34340935945510864-0.15801791846752167j),(-0.31947532296180725+0.5298859477043152j),(-0.02028249390423298+0.13542400300502777j),(-0.16935738921165466-0.34245526790618896j),(-0.19746387004852295-0.21287348866462708j),(0.3414137065410614+0.4712860882282257j),(0.3444615304470062-0.4525425136089325j),(-0.27244943380355835+0.1627698689699173j),(0.17649033665657043-0.09905584901571274j),(0.10403766483068466+0.2744983732700348j),(0.4978656768798828-0.17945684492588043j),(0.1862216293811798+0.08098486810922623j),(0.12406858056783676-0.12107282131910324j),(-0.03469497710466385-0.048057712614536285j),(0.1270633488893509-0.17659197747707367j),(0.3104152977466583-0.001703105983324349j),(0.16182513535022736-0.22136951982975006j),1003706_Patient
(-0.30262306332588196+0.3820735216140747j),(-0.03672259673476219+0.12619057297706604j),(0.43042439222335815+0.18259550631046295j),(0.18600483238697052+0.21080024540424347j),(-0.1987367570400238-0.3709108829498291j),(0.2381702959537506-0.17524753510951996j),(-0.13947829604148865+0.01667804829776287j),(0.24237538874149323-0.18269339203834534j),(-0.45826026797294617-0.6179953217506409j),(0.06369494646787643+0.06013590842485428j),(0.059235140681266785-0.19502979516983032j),(-0.34904131293296814+0.19504667818546295j),(0.34441500902175903-0.3201254904270172j),(-0.16735844314098358-0.5177987217903137j),(-0.18039825558662415+0.26266980171203613j),(0.030042989179491997-0.23469670116901398j),(0.32861801981925964+0.03441581502556801j),(-0.05769284442067146-0.3191133141517639j),(-0.062007106840610504+0.2413671314716339j),(-0.17025285959243774-0.09343934804201126j),(-0.1689779907464981+0.42634132504463196j),(0.2636171281337738-0.0007993056206032634j),(-0.3830992877483368-0.22505776584148407j),(-0.17357762157917023+0.2463151067495346j),(-0.15336759388446808-0.07626800984144211j),(0.251717746257782-0.43319347500801086j),(-0.12522584199905396-0.014303500764071941j),(-0.22973665595054626-0.3552181124687195j),(0.04714149236679077+0.09222372621297836j),(-0.08157320320606232+0.22755903005599976j),(0.3725453019142151+0.29822757840156555j),(-0.2317875176668167-0.2765480875968933j),(-0.34123584628105164+0.08782114833593369j),(0.09101352095603943-0.3083208501338959j),(-0.32520362734794617+0.20318008959293365j),(0.01948520541191101+0.042511533945798874j),(0.2328551858663559-0.16355814039707184j),(-0.1330863982439041+0.2900918424129486j),(-0.03971589729189873+0.02989799529314041j),(-0.17513366043567657-0.4136015474796295j),(-0.06229018419981003+0.07342381775379181j),(-0.16049443185329437+0.25343939661979675j),(-0.16391877830028534+0.1484486162662506j),(0.4464341998100281-0.04302503541111946j),(-0.084104023873806+0.3609232008457184j),(0.17599798738956451-0.0638904795050621j),(0.4614584445953369-0.28119733929634094j),(-0.16518013179302216-0.22788049280643463j),(0.4164210855960846+0.09532716125249863j),(0.22514314949512482+0.19287781417369843j),1005679_Patient
(0.24080000817775726+0.042649153620004654j),(0.12447972595691681+0.21245333552360535j),(-0.3204701244831085+0.5097790360450745j),(-0.3464485704898834-0.08090076595544815j),(0.2891789376735687+0.20494389533996582j),(0.05203268676996231+0.40916815400123596j),(-0.11951383203268051-0.3204626441001892j),(0.46043866872787476-0.5942611694335938j),(-0.015334423631429672-0.34211403131484985j),(-0.31088292598724365+0.04060700908303261j),(-0.27453944087028503-0.34141430258750916j),(-0.41058897972106934+0.07034540176391602j),(0.3912803530693054+0.22890885174274445j),(-0.5842941403388977-0.09883289784193039j),(-0.31106123328208923-0.3704976737499237j),(0.00693889195099473+0.10898728668689728j),(-0.36322852969169617-0.33239468932151794j),(0.19136682152748108+0.0782734677195549j),(0.31644102931022644-0.20884130895137787j),(-0.2064443975687027-0.33094194531440735j),(0.024492643773555756+0.2605399489402771j),(-0.3105565011501312+0.16018611192703247j),(0.33913514018058777-0.022078901529312134j),(-0.38559412956237793+0.454773873090744j),(-0.3048984408378601+0.20637474954128265j),(-0.20330610871315002-0.45073679089546204j),(-0.06760629266500473+0.3221425414085388j),(-0.32368752360343933+0.18427133560180664j),(0.09742966294288635-0.2517752945423126j),(0.125054270029068-0.054770082235336304j),(-0.41185492277145386+0.44412440061569214j),(0.32341352105140686+0.168097123503685j),(0.19181546568870544+0.2932833433151245j),(-0.11729114502668381+0.336343377828598j),(-0.0025686302687972784+0.208237886428833j),(-0.38471829891204834-0.2857603430747986j),(0.32663366198539734-0.1517544984817505j),(0.36733508110046387-0.12924064695835114j),(0.21041379868984222+0.18767520785331726j),(-0.17485813796520233-0.27993419766426086j),(-0.04915354400873184-0.4569603502750397j),(-0.3082522451877594+0.18688921630382538j),(-0.0187893807888031+0.061624929308891296j),(0.19446919858455658-0.32131657004356384j),(-0.14985230565071106-0.26847150921821594j),(-0.22318226099014282-0.2317589372396469j),(0.023259004577994347-0.15626008808612823j),(-0.25224363803863525+0.33474427461624146j),(-0.4891588091850281-0.14490948617458344j),(0.12964823842048645-0.2557976245880127j),1007602_Patient
(0.005302689038217068+0.3125879764556885j),(-0.4379402995109558+0.36993828415870667j),(-0.39072540402412415+0.07670658081769943j),(0.42543289065361023-0.1565803438425064j),(-0.20229555666446686+0.460882306098938j),(-0.15251362323760986-0.2861368954181671j),(-0.2165181040763855+0.37960439920425415j),(0.30071598291397095+0.5210914611816406j),(-0.046104393899440765-0.045099325478076935j),(-0.04384260252118111-0.1253967136144638j),(-0.07823639363050461-0.2776758372783661j),(-0.12997137010097504-0.2588527500629425j),(0.37600311636924744-0.22593699395656586j),(-0.16578976809978485-0.4520404636859894j),(-0.4416520595550537-0.13487926125526428j),(0.310647577047348+0.34274497628211975j),(0.21657481789588928-0.06406589597463608j),(0.3609926104545593+0.28671276569366455j),(0.2162572592496872+0.09770134091377258j),(0.5724776387214661-0.46369317173957825j),(0.39843276143074036+0.4015771746635437j),(0.04972025007009506+0.13103841245174408j),(-0.031903527677059174+0.09246927499771118j),(-0.45188114047050476-0.2520138621330261j),(0.3578093945980072-0.39532753825187683j),(-0.02804473042488098-0.10390235483646393j),(0.14536438882350922+0.03219784051179886j),(-0.3345402479171753+0.08263996243476868j),(0.13519632816314697-0.08175701647996902j),(-0.23564665019512177+0.4973874092102051j),(-0.24931366741657257-0.027663618326187134j),(0.6271589398384094-0.3259615898132324j),(0.14194807410240173+0.30293264985084534j),(0.1631300002336502+0.10656842589378357j),(0.04850954934954643+0.41945111751556396j),(-0.3270125687122345-0.2221892774105072j),(0.43245992064476013+0.11484093219041824j),(-0.07572640478610992+0.005911722779273987j),(0.26013508439064026+0.27537229657173157j),(0.37635138630867004+0.21069294214248657j),(0.16643932461738586-0.3804554045200348j),(0.07430283725261688+0.31042230129241943j),(0.40188074111938477-0.4386252462863922j),(0.3884546756744385+0.36248525977134705j),(0.4212091267108917+0.6202309727668762j),(0.6991845369338989-0.21871495246887207j),(-0.3271934390068054-0.3326595723628998j),(-0.42932525277137756+0.23446956276893616j),(-0.22820232808589935+0.18880783021450043j),(0.36092710494995117-0.12358469516038895j),1013426_Patient
(-0.18275834619998932-0.3342309594154358j),(-0.48679104447364807-0.0990569218993187j),(-0.06578883528709412+0.23097878694534302j),(-0.25410154461860657-0.0022243247367441654j),(0.1524975597858429+0.06786033511161804j),(0.3611629009246826-0.22439202666282654j),(0.054296161979436874-0.20196357369422913j),(0.33496060967445374-0.46766284108161926j),(0.024676894769072533-0.3973551094532013j),(0.4130541682243347-0.12120261043310165j),(-0.04177272319793701+0.42924875020980835j),(-0.3513089120388031+0.31530484557151794j),(-0.1054760068655014+0.37830600142478943j),(-0.21800951659679413-0.08495716750621796j),(-0.1684342622756958-0.2759893238544464j),(-0.2017066478729248+0.043813712894916534j),(0.20589248836040497+0.03425772115588188j),(0.1012035384774208-0.36426618695259094j),(0.034047696739435196+0.1606491655111313j),(-0.09499111026525497+0.07924540340900421j),(-0.15408597886562347+0.2571045160293579j),(-0.01570267044007778+0.21370753645896912j),(-0.20253930985927582-0.2961917519569397j),(-0.20215032994747162+0.43143489956855774j),(0.33953964710235596-0.08274990320205688j),(-0.2440933734178543-0.1864882856607437j),(-0.37714773416519165+0.1777145117521286j),(0.2831687033176422-0.3682469427585602j),(0.10373976081609726+0.0344742089509964j),(0.05880969017744064+0.3769611418247223j),(-0.26432764530181885-0.13162624835968018j),(0.2522299587726593+0.19334451854228973j),(-0.2751918137073517+0.08347240090370178j),(0.32707804441452026-0.25749316811561584j),(-0.56931072473526+0.28176549077033997j),(0.1760038286447525+0.017782025039196014j),(-0.19925737380981445-0.37453174591064453j),(0.1672379970550537+0.40097808837890625j),(0.17786015570163727-0.08966684341430664j),(0.33692431449890137-0.3339403569698334j),(-0.2275228351354599+0.26888707280158997j),(-0.17124389111995697-0.24830199778079987j),(0.22346048057079315-0.3773564398288727j),(0.1891486644744873-0.2740376889705658j),(-0.3652385175228119+0.25130176544189453j),(0.2937038838863373-0.08685152977705002j),(-0.14453230798244476-0.32625821232795715j),(-0.16374196112155914-0.10232517123222351j),(-0.08371125906705856-0.2756594121456146j),(0.616744339466095+0.30037838220596313j),1013702_Patient
(0.01104934886097908+0.36603090167045593j),(0.015160621143877506+0.023841967806220055j),(-0.0976167544722557+0.19182813167572021j),(0.2995683550834656-0.12173860520124435j),(0.0880725085735321-0.562903106212616j),(0.24781599640846252-0.24066075682640076j),(-0.13284970819950104-0.2488054633140564j),(-0.009062331169843674-0.1716977208852768j),(-0.31311434507369995-0.5873222947120667j),(-0.23407909274101257-0.0674198642373085j),(0.22867827117443085-0.03949363902211189j),(-0.36098524928092957+0.4527360796928406j),(0.14965416491031647-0.3138916790485382j),(-0.40257713198661804+0.012156782671809196j),(-0.3702106177806854+0.1751849502325058j),(-0.215087890625-0.0642414465546608j),(0.49678105115890503-0.144858255982399j),(0.08196504414081573-0.33097076416015625j),(0.18909500539302826+0.26583388447761536j),(-0.3523431718349457+0.0006268590805120766j),(0.08570986986160278+0.30424076318740845j),(0.30582019686698914-0.31070658564567566j),(0.11955130100250244+0.13999298214912415j),(0.02059885300695896+0.548224151134491j),(-0.2774798572063446+0.3221718668937683j),(0.34497782588005066+0.10024723410606384j),(0.05454041808843613-0.2252066284418106j),(-0.38819393515586853-0.4396471679210663j),(-0.1828066110610962-0.21939224004745483j),(-0.37163808941841125+0.23997901380062103j),(0.4539545178413391-0.11106262356042862j),(0.11378572881221771-0.014368942938745022j),(0.11455891281366348+0.13868790864944458j),(0.15776464343070984-0.13658522069454193j),(-0.5318406224250793+0.47729161381721497j),(-0.3160495162010193-0.2353457808494568j),(0.07135330885648727-0.24064069986343384j),(-0.11131451278924942-0.27209344506263733j),(3.510374153847806e-05+0.11316170543432236j),(0.2617606222629547-0.3420180082321167j),(0.01194125134497881+0.029646947979927063j),(0.2513764500617981+0.14884760975837708j),(0.23188462853431702+0.32674482464790344j),(0.3739512860774994-0.1350334733724594j),(-0.3037637770175934+0.19526278972625732j),(0.27257469296455383-0.06856562942266464j),(-0.04097069054841995+0.17676009237766266j),(-0.26600658893585205-0.0100626852363348j),(0.4061911106109619+0.14505937695503235j),(0.22572921216487885+0.09529804438352585j),1015121_Patient
(-0.057913560420274734-0.3248339593410492j),(0.04434236139059067+0.0290195494890213j),(-0.1215422973036766-0.24167056381702423j),(0.5567446947097778+0.38294970989227295j),(-0.24566112458705902-0.47123417258262634j),(-0.2884277403354645-0.46225523948669434j),(-0.1859520971775055+0.16699787974357605j),(-0.041067637503147125-0.41087937355041504j),(-0.37953823804855347-0.25414010882377625j),(-0.20810449123382568-0.3349335789680481j),(-0.017292674630880356-0.2801075875759125j),(0.11135083436965942-0.03937222808599472j),(0.1388176679611206+0.1350356936454773j),(0.0782558023929596-0.4385838210582733j),(0.15788297355175018+0.0811225175857544j),(0.38933101296424866+0.022764787077903748j),(0.27671948075294495-0.11963452398777008j),(0.026973355561494827-0.20622332394123077j),(-0.057025641202926636+0.30053189396858215j),(-0.030950281769037247+0.23810237646102905j),(0.027826877310872078+0.2772948443889618j),(0.3224446475505829+0.27120453119277954j),(-0.26158416271209717-0.3719894587993622j),(0.271736741065979+0.3316439390182495j),(0.06279965490102768-0.11378490924835205j),(0.1359136402606964-0.2792964279651642j),(-0.0762176439166069-0.35873061418533325j),(-0.38601571321487427+0.2372867614030838j),(0.47474998235702515+0.035367079079151154j),(-0.20489300787448883+0.39137503504753113j),(0.2737560272216797+0.4598693251609802j),(0.22457540035247803-0.08816896378993988j),(0.0309367086738348-0.10914391279220581j),(-0.17030861973762512-0.2319793701171875j),(-0.6189239025115967+0.4297439157962799j),(-0.5575646162033081+0.16860683262348175j),(0.2886774241924286-0.2693621516227722j),(-0.2843671143054962+0.04890039935708046j),(-0.0020267372019588947+0.22491469979286194j),(0.25127357244491577-0.29660484194755554j),(0.18463128805160522-0.3101498782634735j),(-0.01568995788693428+0.4215450882911682j),(0.4017186164855957-0.2095402032136917j),(0.04925687238574028-0.17755597829818726j),(0.2639235258102417+0.5105819702148438j),(0.5697095990180969-0.41164329648017883j),(-0.03998056426644325+0.11320634931325912j),(-0.2645581066608429+0.035128574818372726j),(-0.050042010843753815-0.10490430146455765j),(0.14157040417194366-0.037997130304574966j),1019115_Patient
(0.33509811758995056+0.20864027738571167j),(-0.4926390051841736-0.28852906823158264j),(0.2942489683628082-0.10585060715675354j),(-0.3433580994606018-0.27663153409957886j),(0.4529848098754883-0.36274099349975586j),(-0.14176325500011444-0.04599732160568237j),(0.23879657685756683-0.1536351442337036j),(0.15791597962379456-0.43977147340774536j),(0.34654590487480164+0.2770099937915802j),(0.20796427130699158-0.1065293550491333j),(0.24872714281082153+0.4133162498474121j),(0.2561396062374115-0.15560226142406464j),(0.3694238066673279+0.3803180158138275j),(-0.500078022480011+0.2337861955165863j),(-0.3837202489376068-0.11390864104032516j),(-0.24128100275993347+0.24869193136692047j),(-0.24598965048789978-0.07441813498735428j),(-0.19130516052246094+0.4474605619907379j),(0.34143373370170593+0.2741122245788574j),(0.3997649848461151-0.01642300933599472j),(-0.09029741585254669-0.4025792181491852j),(0.26807916164398193+0.15657001733779907j),(0.37239986658096313-0.23799507319927216j),(-0.11277437210083008-0.13645358383655548j),(0.5105668306350708-0.055965106934309006j),(-0.08506140857934952-0.26699474453926086j),(0.2872035503387451-0.40724822878837585j),(0.541535496711731-0.48517850041389465j),(0.2578837275505066+0.4121635854244232j),(0.23592428863048553-0.2959843575954437j),(-0.17847749590873718-0.27631300687789917j),(0.2798662483692169-0.12141115963459015j),(0.4728243052959442+0.06522368639707565j),(0.16536828875541687-0.046136144548654556j),(0.23798245191574097-0.13720954954624176j),(0.30461418628692627+0.1233430877327919j),(0.11881691217422485-0.13609479367733002j),(-0.324060320854187-0.19588114321231842j),(-0.34265658259391785+0.2552056610584259j),(-0.31908905506134033-0.14668263494968414j),(-0.2912726402282715-0.2537339925765991j),(-0.2655063569545746+0.16712623834609985j),(0.0650208592414856-0.4509379267692566j),(0.1462705433368683-0.08058813214302063j),(-0.2283528745174408-0.3303561806678772j),(-0.22651788592338562-0.2850683033466339j),(0.17327509820461273+0.1282055824995041j),(0.07873856276273727+0.0984676405787468j),(-0.25025132298469543+0.1404891014099121j),(0.5775863528251648-0.47354304790496826j),1019206_Patient
(0.10985788702964783+0.4172726571559906j),(-0.15923109650611877+0.24105119705200195j),(-0.13862712681293488-0.03745432570576668j),(-0.293192058801651+0.24529387056827545j),(-0.07748419046401978-0.043301261961460114j),(-0.24611635506153107+0.16210748255252838j),(0.061718814074993134-0.19186724722385406j),(0.500626802444458-0.18465016782283783j),(0.130510151386261-0.24931971728801727j),(0.3646291196346283-0.30047693848609924j),(0.18910376727581024-0.2441619336605072j),(-0.125624418258667+0.4531022906303406j),(0.0390159972012043+0.2138514518737793j),(-0.4778973162174225-0.2703055739402771j),(-0.40197476744651794+0.30804646015167236j),(-0.3324793875217438-0.2848861515522003j),(0.26039549708366394-0.14618870615959167j),(-0.18905514478683472-0.24131882190704346j),(-0.2347395271062851+0.2607351839542389j),(-0.21649238467216492-0.5336071252822876j),(-0.008673149161040783-0.32186654210090637j),(0.14904005825519562+0.18287251889705658j),(-0.3189607858657837+0.5603295564651489j),(-0.26966866850852966-0.16291840374469757j),(0.32075315713882446+0.15931814908981323j),(0.306416392326355-0.23455163836479187j),(0.3284609913825989+0.35684043169021606j),(-0.1963026523590088+0.034139130264520645j),(-0.3967188596725464-0.0330631397664547j),(0.046505000442266464+0.12075284123420715j),(-0.08886060118675232+0.08263855427503586j),(0.3502396047115326+0.06117183715105057j),(0.07838188111782074-0.39479729533195496j),(0.07121212035417557-0.2232021689414978j),(-0.33350998163223267+0.13013119995594025j),(-0.36402374505996704-0.4621468782424927j),(-0.38092881441116333-0.10589569061994553j),(0.16862992942333221+0.08816061168909073j),(0.28686919808387756+0.030066626146435738j),(0.35909488797187805+0.0388757586479187j),(-0.1306660920381546-0.23956716060638428j),(0.16071540117263794+0.2767032980918884j),(0.24760748445987701-0.2599867582321167j),(0.07661740481853485+0.11612564325332642j),(0.15908610820770264+0.33037206530570984j),(-0.376681387424469-0.1023903638124466j),(0.273561030626297+0.2662322521209717j),(-0.39381030201911926-0.49531152844429016j),(-0.45832839608192444+0.08621953427791595j),(-0.05870430916547775-0.6302446126937866j),101957_Patient
(-0.13229644298553467+0.3193756937980652j),(-0.0822015032172203-0.16300728917121887j),(0.10337094962596893+0.25852370262145996j),(0.03254321590065956+0.33291926980018616j),(-0.24050062894821167-0.5840818285942078j),(-0.27647846937179565+0.40251424908638j),(-0.11003975570201874+0.08981972932815552j),(0.14381054043769836-0.47958144545555115j),(-0.43454688787460327-0.41654258966445923j),(0.2496955394744873-0.09340155124664307j),(0.0925460010766983+0.09013765305280685j),(-0.07942074537277222+0.4347132742404938j),(0.4423513412475586+0.018862569704651833j),(-0.35806775093078613-0.39076507091522217j),(-0.2902580201625824-0.0656089261174202j),(-0.2702091634273529+0.07737015187740326j),(0.30642983317375183-0.061280131340026855j),(-0.31938913464546204+0.006817299406975508j),(-0.25469979643821716+0.3475777208805084j),(-0.36125844717025757-0.2629731595516205j),(-0.01989782601594925-0.22143691778182983j),(0.2507803738117218-0.08576672524213791j),(-0.06422583013772964+0.13554924726486206j),(-0.1323646456003189+0.4728145897388458j),(0.3392174541950226+0.27471283078193665j),(0.13641630113124847-0.04834334924817085j),(0.17784668505191803-0.20455196499824524j),(0.22839753329753876-0.41425663232803345j),(-0.1906106323003769+0.09199215471744537j),(-0.2668946087360382+0.2570744752883911j),(0.11037450283765793+0.21054117381572723j),(0.010087570175528526+0.3136374056339264j),(0.026011686772108078-0.017855532467365265j),(0.2536216378211975-0.22455601394176483j),(-0.08414892107248306+0.4087126851081848j),(-0.31450802087783813-0.03120272047817707j),(-0.2523636221885681+0.24090458452701569j),(0.10493939369916916+0.046713147312402725j),(-0.3867778480052948-0.05704134330153465j),(0.427874356508255-0.34172573685646057j),(0.2784993648529053+0.11898480355739594j),(-0.059332430362701416+0.18257974088191986j),(-0.027206765487790108+0.12250072509050369j),(0.23500578105449677+0.04668444022536278j),(-0.16932184994220734+0.35340386629104614j),(-0.17082607746124268-0.012668515555560589j),(0.39533182978630066-0.03775349631905556j),(0.09446699917316437-0.05709373950958252j),(-0.07284192740917206+0.032735466957092285j),(0.42689016461372375-0.23527894914150238j),1022636_Patient
