Body,Head,Head_Coverage,Std_Confidence,PCA_Confidence,Positive_Examples,Body_size,PCA_Body_size,Functional_variable
?a  hasBiomarker  BRAF_Negative   ,?a  hasBiomarker  PDL1_Negative,0.01242236,0.166666667,0.166666667,20,120,120,?a
?a  hasGender  Female   ,?a  hasBiomarker  PDL1_Negative,0.018012422,0.077956989,0.146464646,29,372,198,?a
?a  hasSmokingHabit  CurrentSmoker   ,?a  hasBiomarker  PDL1_Negative,0.022360248,0.072874494,0.193548387,36,494,186,?a
?a  hasStage  IVB   ,?a  hasBiomarker  PDL1_Negative,0.01863354,0.25,0.326086957,30,120,92,?a
?a  hasBiomarker  ROS1_Negative   ,?a  hasBiomarker  PDL1_Negative,0.039130435,0.239543726,0.239543726,63,263,263,?a
?a  treatmentType  Whole_Brain_Radiation_Therapy   ,?a  hasBiomarker  PDL1_Negative,0.013664596,0.086614173,0.201834862,22,254,109,?a
?a  hasBiomarker  EGFR_Negative   ,?a  hasBiomarker  PDL1_Negative,0.040993789,0.155660377,0.155660377,66,424,424,?a
?a  hasStage  IVA   ,?a  hasBiomarker  PDL1_Negative,0.016149068,0.30952381,0.393939394,26,84,66,?a
?a  hasGender  Male   ,?a  hasBiomarker  PDL1_Negative,0.044720497,0.082758621,0.195652174,72,870,368,?a
?a  hasSmokingHabit  FormerSmoker   ,?a  hasBiomarker  PDL1_Negative,0.034782609,0.091503268,0.202166065,56,612,277,?a
?a  hasBiomarker  ALK_Negative   ,?a  hasBiomarker  PDL1_Negative,0.046583851,0.201612903,0.201612903,75,372,372,?a
?a  hasAgeCategory  Old   ,?a  hasBiomarker  PDL1_Negative,0.040372671,0.072463768,0.167958656,65,897,387,?a
?a  patientDrug  Cisplatin   ,?a  hasBiomarker  PDL1_Negative,0.011801242,0.067375887,0.112426036,19,282,169,?a
?a  treatmentType  Radiotherapy_To_Lung   ,?a  hasBiomarker  PDL1_Negative,0.01552795,0.063613232,0.154320988,25,393,162,?a
?a  hasAgeCategory  Young   ,?a  hasBiomarker  PDL1_Negative,0.022360248,0.104651163,0.201117318,36,344,179,?a
?a  treatmentType  Radiotherapy_To_Bone   ,?a  hasBiomarker  PDL1_Negative,0.013043478,0.155555556,0.198113208,21,135,106,?a
?a  patientDrug  Paclitaxel   ,?a  hasBiomarker  PDL1_Negative,0.018012422,0.099315068,0.183544304,29,292,158,?a
?a  patientDrug  Nivolumab   ,?a  hasBiomarker  PDL1_Negative,0.018012422,0.233870968,0.329545455,29,124,88,?a
?a  treatmentType  Immunotherapy   ,?a  hasBiomarker  PDL1_Negative,0.019875776,0.170212766,0.225352113,32,188,142,?a
?a  patientDrug  Vinorelbine   ,?a  hasBiomarker  PDL1_Negative,0.020496894,0.098507463,0.1875,33,335,176,?a
?a  patientDrug  Pemetrexed   ,?a  hasBiomarker  PDL1_Negative,0.023602484,0.150197628,0.177570093,38,253,214,?a
?a  treatmentType  Intravenous_Chemotherapy   ,?a  hasBiomarker  PDL1_Negative,0.037888199,0.123481781,0.214788732,61,494,284,?a
?a  hasSmokingHabit  CurrentSmoker   ,?a  hasBiomarker  PDL1_Positive,0.033540373,0.109311741,0.290322581,54,494,186,?a
?a  hasSmokingHabit  FormerSmoker   ,?a  hasBiomarker  PDL1_Positive,0.043478261,0.114379085,0.252707581,70,612,277,?a
?a  hasBiomarker  BRAF_Negative   ,?a  hasBiomarker  PDL1_Positive,0.02484472,0.333333333,0.333333333,40,120,120,?a
